id,City,State,Low estimate,Best Guess,High estimate,Source1
409,"Palm Springs, CA",CA,200,250,300,onsite eyewitness via google form
410,"Palmdale, CA",CA,24,24,24,http://www.twcnews.com/ca/antelope-valley/news/2017/01/21/protesters-gather-in-antelope-valley-in-support-of-women-s-march-on-washington.html
411,"Palmer, AK",AK,377,657,1000,FB
412,"Paradox, NY",NY,3,3,3,Eyewitness on site
413,"Park City, UT",UT,5000,6350,8000,http://www.parkrecord.com/news/giant-sundance-crowd-marches-in-broad-rebuke-of-president-trump/?platform=hootsuite
414,"Panama City, FL",FL,500,500,500,http://www.newsherald.com/news/20170121/hundreds-gather-protest-at-panama-city-womens-march
415,"Paoli, IN",IN,67,67,67,verified through user photo
416,"Paonia, CO",CO,40,40,40,Eyewitness on site
417,"Pasadena, CA",CA,500,1040,1700,http://www.pasadenastarnews.com/general-news/20170121/womens-march-demonstrators-raise-their-voices-in-pasadena
418,"Pence, WI",WI,1,1,1,FB
419,"Pendelton, OR",OR,425,526,650,http://www.eastoregonian.com/eo/local-news/20170121/protestors-pack-pendleton-for-womens-march
420,"Pensacola, FL",FL,2000,2000,2000,http://www.pnj.com/story/news/local/pensacola/downtown/2017/01/21/hundreds-brave-rain-join-pensacola-march-women/96795864/
421,"Pentwater, MI",MI,2,2,2,Eyewitness on site
422,"Peoria, IL",IL,1500,1725,2000,http://www.centralillinoisproud.com/news/local-news/peoria-rally-in-support-of-womens-march-on-washington/643865167
423,"Pequannock Township, NJ",NJ,800,890,1000,http://www.northjersey.com/story/news/2017/01/21/crowds-gathering-womens-march-protests/96778388/
424,"Peterborough, NH",NH,50,55,60,Eyewitness on site
425,"Petersburg, AK",AK,50,65,80,Eyewitness on site
426,"Philadelphia, PA",PA,50000,50000,50000,http://www.philly.com/philly/blogs/real-time/Womens-Marches-in-Washington-DC-and-Philadelphia-Live-updates-Jan-21-2017.html
427,"Phoenix, AZ",AZ,20000,22250,25000,http://www.azcentral.com/story/news/local/phoenix/2017/01/21/phoenix-womens-march-sister-washington-capitol/96849890/
428,"Pierre, SD",SD,130,133,135,onsite eyewitness did a headcount via google form
429,"Pikeville, KY",KY,100,100,100,https://twitter.com/sheila_isaac/status/823375791601963008
430,"Pinedale, WY",WY,100,100,100,FB
431,"Pittsburgh, PA",PA,25000,25000,25000,http://www.post-gazette.com/local/city/2017/01/21/Pittsburgh-groups-protest-against-Trump/stories/201701210111
432,"Pittsfield, MA",MA,1500,1500,1500,http://theberkshireedge.com/sister-march-at-colonial-theatre-draws-throngs-from-across-the-berkshires/
433,"Plattsburgh, NY",NY,182,415,700,https://twitter.com/elodiemet/status/823227264645132288
434,"Plymouth, WI",WI,200,200,200,http://www.sheboyganpress.com/videos/news/local/2017/01/21/hundreds-attend-million-person-unity-marches-sheboygan-county/96905712/
435,"Pocatello, ID",ID,1200,1200,1200,http://idahostatejournal.com/members/marchers-show-up-in-droves-for-women-s-march-on/article_fe93fb5e-f29b-5784-bda9-6f66cc342649.html
436,"Point Reyes Station, CA",CA,35,60,85,Eyewitness on site
437,"Port Angeles, WA",WA,100,150,200,FB
438,"Port Jefferson, NY",NY,2000,2000,2000,http://www.newsday.com/long-island/women-s-values-rallies-in-huntington-port-jefferson-station-1.12993518
439,"Port Jervis, NY",NY,350,418,500,onsite eyewitness via google form
440,"Port Orford, OR",OR,280,290,300,onsite eyewitness via google form; did headcount
441,"Port Townsend, WA",WA,300,615,1000,http://www.peninsuladailynews.com/news/some-300-protesters-march-in-port-townsend/
442,"Portales, NM",NM,50,50,50,http://www.easternnewmexiconews.com/story/2017/01/22/news/we-will-be-heard/150454.html
443,"Portland, ME",ME,10000,10000,10000,http://www.pressherald.com/2017/01/21/signs-sentiments-crowd-eastern-prom-for-womens-march/
444,"Portland, OR",OR,70000,83500,100000,https://twitter.com/scaackler/status/822995313703075840
445,"Portland, OR area",OR,55,58,60,Eyewitness on site
446,"Portsmouth, NH",NH,3000,3900,5000,http://www.seacoastonline.com/news/20170121/portsmouth-womens-march-draws-thousands
447,"Potsdam, NY",NY,18,20,22,Eyewitness on site
448,"Poughkeepsie, NY",NY,4000,5672,7716,https://www.facebook.com/rivera.sun.3?fref=nf&pnref=story.unseen-section
449,"Prescott, AZ",AZ,1200,1200,1200,http://www.dcourier.com/photos/galleries/2017/jan/21/womens-march-in-prescott/
450,"Providence, RI",RI,5000,5900,7000,http://www.providencejournal.com/news/20170121/from-providence-to-washington-rhode-islanders-turn-out-to-send-trump-message
451,"Provincetown, MA",MA,300,300,300,http://capecodwave.com/provincetown-womens-march-going-speak/
452,"Quincy, CA",CA,50,78,105,Eyewitness on site
453,"Raleigh, NC",NC,17000,18350,20000,http://www.wral.com/organizers-estimate-17-000-gather-in-raleigh-for-women-s-march/16456580/
454,"Rapid City, SD",SD,1000,1450,2000,https://twitter.com/ThatBrandyn/status/822891625676275712
455,"Reading, PA",PA,100,258,450,http://www.readingeagle.com/news/article/crowds-gather-in-city-park-in-reading-for-sister-march
456,"Red Bank, NJ",NJ,200,290,400,newjersey.news12.com/multimedia/hundreds-march-in-solidarity-in-red-bank-1.12994794
457,"Redding, CA",CA,300,300,300,http://www.redding.com/story/news/local/2017/01/21/live-tweets-womens-march-redding-city-hall/96882162/
458,"Redondo Beach, CA",CA,2000,2000,2000,http://www.easyreadernews.com/144169/redondo-beach-womens-march-draws-1800-participants/
459,"Redwood City, CA",CA,2500,2500,2500,https://twitter.com/AlexHorovitz/status/822997333151387649
460,"Reno, NV",NV,10000,10000,10000,http://www.rgj.com/story/news/2017/01/21/s-change-reno-womens-march-washington/96888834/
461,"Richland, WA",WA,1000,1675,2500,http://www.tri-cityherald.com/news/local/article128022844.html
462,"Richmond, VA",VA,2000,2000,2000,http://richmondfreepress.com/news/2017/jan/20/thousands-join-march-monument-message-equality-uni/
463,"Ridgecrest, CA",CA,180,190,200,onsite eyewitness; headcount at start with others joining along route
464,"Ridgway, CO",CO,50,100,150,FB
465,"Riegelsville, PA",PA,170,185,200,Bucks County Courier Times
466,"Riverside, CA",CA,4000,4000,4000,http://www.pasadenastarnews.com/general-news/20170121/thousands-of-women-others-rally-in-riverside-to-protest-trumps-policies
467,"Roanoke, VA",VA,3000,3675,4500,http://www.wdbj7.com/content/news/Thousands-marched-for-women-in-Roanoke-411421475.html
468,"Rochester, MN",MN,600,780,1000,https://twitter.com/water_violin/status/822997922757349376
469,"Rochester, NY",NY,1500,1725,2000,http://www.democratandchronicle.com/story/news/2017/01/21/women-upset-trumps-presidency-hold-rallies-locally/96715496/
470,"Rock Springs, WY",WY,90,105,120,Eyewitness on site
471,"Rockford, IL",IL,1000,1000,1000,http://www.rrstar.com/news/20170121/crowds-pack-downtown-rockford-for-womens-march-protest
472,"Romney, WV",WV,30,40,50,Onsite eyewitness; headcount
473,"Roswell, NM",NM,2,2,2,via email
474,"Roxbury, CT",CT,15,58,100,FB
475,"St. Augustine, FL",FL,1000,1450,2000,http://www.firstcoastnews.com/news/womens-march-makes-its-way-to-the-first-coast/389706372
476,"St. Cloud, MN",MN,40,40,40,http://www.sctimes.com/story/news/local/2017/01/20/st-cloud-mixed-reaction-president-trump/96837370/
477,"St. Croix, VI",VI,250,250,250,http://viconsortium.com/virgin-islands-2/watch-usvi-joins-u-s-world-womens-march-protesting-trump-inauguration/
478,"St. George, UT",UT,1200,1324,1475,organizer head count
479,"St. John, VI",VI,60,60,60,Eyewitness onsite; photographic evidence
480,"St. Johnsbury, VT",VT,50,60,70,http://www.caledonianrecord.com/news/local/large-crowd-turns-out-for-march-in-st-johnsbury/article_79fb1b0b-82c7-5f2a-91f4-c8a7be03f7b9.html
481,"St. Joseph, MI",MI,60,60,60,http://www.wirx.com/2017/01/23/womens-march-held-in-st-joseph/
482,"St. Louis, MO",MO,10000,14500,20000,http://www.stltoday.com/news/local/govt-and-politics/thousands-take-part-in-st-louis-women-s-march-protesting/article_0866b5f9-d4ce-507d-9be1-792e599713d7.html
483,"St. Mary's City, MD",MD,10,10,10,FB
484,"St. Mary of the Woods, IN",IN,180,190,200,http://www.tribstar.com/news/local_news/wabash-valley-residents-gather-in-solidarity-with-marchers-in-washington/article_49969ab3-c25d-52a1-b185-aa99dd701846.html
485,"St. Paul/Minneapolis, MN",MN,90000,94500,100000,https://twitter.com/sppdPIO/status/822974502434930688
486,"St. Petersburg, FL",FL,20000,20000,20000,http://www.tampabay.com/news/politics/elections/womens-march-surpassed-20000-protesters-making-it-largest-in-st-petersburg/2310416
487,"Sacramento, CA",CA,20000,28100,38000,http://www.sacbee.com/news/local/article127914504.html
488,"Sag Harbor, NY",NY,250,250,250,http://easthamptonstar.com/News/7/East-Enders-Marched-Washington-NYC-and-Sag-Harbor
489,"Salem, OR",OR,1000,2440,4200,http://www.statesmanjournal.com/story/news/2017/01/21/womens-march-salem-unites-thousands-people/96850428/
490,"Salem, WI",WI,2,2,2,eyewitness onsite
491,"Salida, CO",CO,40,45,50,http://www.themountainmail.com/free_content/article_16fc9b52-e185-11e6-a2aa-2b737598eb38.html
492,"Salinas, CA",CA,80,80,80,http://www.montereyherald.com/government-and-politics/20170120/trump-inauguration-unites-participants-in-protests-on-monterey-peninsula-salinas
493,"Salisbury, CT",CT,200,305,434,https://twitter.com/jahansell/status/823009339174780928
494,"Salt Lake City, UT (1/20)",UT,1000,1000,1000,http://www.sltrib.com/home/4843395-155/about-1000-utahns-rally-against-president
495,"Salt Lake City, UT (1/23)",UT,6000,7800,10000,http://kutv.com/news/local/thousands-gather-for-utah-women-unite-march-at-utah-capitol-rotunda
496,"San Anselmo, CA",CA,4,4,4,Eyewitness on site
497,"San Antonio, TX",TX,1500,2175,3000,http://www.mysanantonio.com/news/local/article/Women-in-San-Antonio-take-to-the-streets-to-10873833.php
498,"San Bernardino, CA",CA,80,80,80,http://www.pe.com/articles/san-823719-bernardino-participated.html
499,"San Clemente, CA",CA,100,150,200,http://www.sanclementetimes.com/hundreds-participate-san-clemente-womens-march-washington/
500,"San Diego, CA",CA,30000,34500,40000,http://www.kpbs.org/news/2017/jan/20/thousands-san-diegans-march-womens-rights/
501,"San Francisco, CA",CA,100000,154000,220000,http://sanfrancisco.cbslocal.com/2017/01/21/huge-crowd-san-francisco-rally-womens-march/
502,"San Jose, CA",CA,25000,31750,40000,http://www.sfchronicle.com/bayarea/article/Crowds-gather-to-demonstrate-against-Trump-10873932.php
503,"San Juan, PR",PR,200,290,400,onsite eyewtiness w photo
504,"San Luis Obispo, CA",CA,7000,8350,10000,http://www.sanluisobispo.com/news/local/article128024209.html
505,"San Marcos, CA",CA,3000,6150,10000,http://www.sandiegouniontribune.com/communities/north-county/sd-no-san-marcos-march-20170119-story.html
506,"San Rafael, CA",CA,500,500,500,FB
507,"Sanford, ME",ME,100,115,130,http://www.journaltribune.com/news/2017-01-23/Front_Page/Were_all_one.html
508,"Sandpoint, ID",ID,800,890,1000,http://www.bonnercountydailybee.com/local_news/20170121/marching_together_north_idaho_style
509,"Santa Ana, CA",CA,20000,22250,25000,http://www.ocregister.com/articles/march-741832-women-people.html
510,"Santa Barbara, CA",CA,5000,6350,8000,http://www.edhat.com/site/tidbit.cfm?nid=180540
511,"Santa Cruz, CA",CA,8000,11150,15000,http://www.santacruzsentinel.com/government-and-politics/20170121/thousands-of-protesters-swarm-downtown-santa-cruz
512,"Santa Fe, NM",NM,10000,13150,17000,http://www.santafenewmexican.com/news/local_news/santa-feans-flood-downtown-streets-in-display-of-anger-hope/article_8bf2bb24-b83f-51e3-8434-8a18223dac5d.html
513,"Santa Rosa, CA",CA,5000,5000,5000,https://www.facebook.com/SantaRosaPoliceDepartment/
514,"Sarasota, FL",FL,7500,8625,10000,https://twitter.com/sarasotapd/status/822888985689292800
